Loyalty#,cluster_behavior_kmeans,cluster_value_kmeans,kmeans_behavior_level,kmeans_value_level,kmeans_final_segment
102168,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
102184,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
102207,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
102299,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
102308,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
102311,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
102376,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
102464,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
102615,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
102726,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
102730,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
102740,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
102788,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
102851,0,1,High,High,"Champions (High value, High engagement)"
102877,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
102982,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103043,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103151,0,1,High,High,"Champions (High value, High engagement)"
103217,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103304,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103340,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103352,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
103359,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103362,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
103383,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
103436,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103490,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103502,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103536,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103699,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
103731,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103758,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
103823,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103860,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103862,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103916,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103969,0,1,High,High,"Champions (High value, High engagement)"
103970,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103975,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
103985,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
104103,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
104267,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
104353,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
104431,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
104541,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
104586,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
104673,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
104732,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
104739,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
104849,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
104960,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
105063,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
105073,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
105074,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
105145,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
105193,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
105214,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
105251,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
105335,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
105352,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
105552,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
105688,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
105700,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
105712,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
105789,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
105835,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
105841,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
105921,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
105932,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
105992,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106001,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106037,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106038,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106046,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106048,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
106218,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106397,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106444,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
106477,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106509,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
106589,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
106592,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106616,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
106623,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
106637,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106689,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106754,0,1,High,High,"Champions (High value, High engagement)"
106757,0,1,High,High,"Champions (High value, High engagement)"
106776,0,1,High,High,"Champions (High value, High engagement)"
106838,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106839,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106936,0,1,High,High,"Champions (High value, High engagement)"
106946,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106964,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
106978,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106979,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107037,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107067,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107119,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107141,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107203,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107212,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107296,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
107385,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
107420,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
107461,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107466,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107487,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
107519,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
107571,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107649,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107719,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107730,0,1,High,High,"Champions (High value, High engagement)"
107835,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
107902,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107993,0,1,High,High,"Champions (High value, High engagement)"
108264,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
108346,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
108367,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
108381,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
108430,0,1,High,High,"Champions (High value, High engagement)"
108440,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
108462,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
108481,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
108528,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
108625,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
108666,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
108857,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
108896,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
108907,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109022,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109023,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109029,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
109203,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109399,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109478,0,1,High,High,"Champions (High value, High engagement)"
109495,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109517,0,1,High,High,"Champions (High value, High engagement)"
109552,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109612,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
109660,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109767,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109840,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109896,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109903,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109956,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
110001,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
110030,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
110065,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
110073,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
110099,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
110142,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
110170,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
110211,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
110262,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
110296,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
110394,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
110422,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
110476,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
110603,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
110678,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
110691,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
110752,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
111022,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
111034,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
111171,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
111176,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
111255,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
111286,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
111329,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
111387,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
111485,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
111507,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
111573,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
111584,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
111646,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
111788,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
111899,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
111912,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112026,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112142,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112226,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112393,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112522,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112632,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112661,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
112678,0,1,High,High,"Champions (High value, High engagement)"
112709,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112732,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112733,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112797,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
112842,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112856,0,1,High,High,"Champions (High value, High engagement)"
112863,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112894,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
113040,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113184,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
113220,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113293,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
113316,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
113363,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
113442,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
113476,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113529,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
113558,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113578,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113656,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
113679,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113694,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113755,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113779,0,1,High,High,"Champions (High value, High engagement)"
113804,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113831,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113839,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113861,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113864,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
113874,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
113877,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113904,0,1,High,High,"Champions (High value, High engagement)"
113919,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114018,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114021,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114131,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
114214,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
114219,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114242,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114307,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114399,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
114414,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114493,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114553,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114638,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114700,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
114743,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114835,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114857,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114903,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114924,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
114927,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
114983,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
115198,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
115322,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
115354,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
115405,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
115427,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
115505,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
115529,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
115633,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
115705,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
115749,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
115805,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
115852,0,1,High,High,"Champions (High value, High engagement)"
116016,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
116045,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
116164,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
116207,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
116238,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
116288,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
116332,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
116372,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
116562,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
116703,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
116732,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
116735,0,1,High,High,"Champions (High value, High engagement)"
116895,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
116897,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
116932,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
116948,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
116999,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117033,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117053,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117169,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117219,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117240,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
117333,0,1,High,High,"Champions (High value, High engagement)"
117342,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117351,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
117358,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
117408,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117456,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117460,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117482,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117618,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117725,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
117782,0,1,High,High,"Champions (High value, High engagement)"
117832,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
117910,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117915,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
117932,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117939,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
117975,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
118076,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
118298,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
118320,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
118332,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
118355,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
118365,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
118376,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
118379,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
118418,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
118511,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
118514,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
118612,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
118628,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
118632,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
118675,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
118688,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
118729,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
118864,0,1,High,High,"Champions (High value, High engagement)"
119009,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
119015,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
119135,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
119198,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
119200,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
119408,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
119460,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
119488,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
119519,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
119633,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
119634,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
119638,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
119690,1,0,Low,Medium,"Need Attention (Medium value, Low engagement)"
119731,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
119837,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
119845,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
119917,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
119997,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
120046,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
120126,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
120140,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
120164,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
120192,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
120206,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
120393,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
120434,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
120554,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
120583,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
120594,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
120613,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
120635,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
120799,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
120868,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
121068,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
121095,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
121139,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
121183,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
121236,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
121351,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
121410,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
121469,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
121605,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
121710,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
121737,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
121751,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
121856,0,1,High,High,"Champions (High value, High engagement)"
121919,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
121930,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
