Loyalty#,cluster_behavior_agglomerative_ward,cluster_value_agglomerative_ward,agglomerative_ward_behavior_level,agglomerative_ward_value_level,agglomerative_ward_final_segment
107203,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
107212,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
107296,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107385,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
107420,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
107461,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
107466,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
107487,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
107519,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
107571,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
107649,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
107719,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
107730,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
107835,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
107902,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
107993,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
108264,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
108346,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
108367,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
108381,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
108430,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
108440,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
108462,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
108481,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
108528,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
108625,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
108666,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
108857,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
108896,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
108907,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
109022,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
109023,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
109029,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
109203,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
109399,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
109478,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109495,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
109517,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
109552,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
109612,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
109660,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
109767,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
109840,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
109896,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
109903,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
109956,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
110001,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
110030,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
110065,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
110073,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
110099,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
110142,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
110170,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
110211,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
110262,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
110296,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
110394,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
110422,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
110476,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
110603,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
110678,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
110691,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
110752,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111022,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111034,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111171,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111176,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111255,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111286,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111329,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111387,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
111485,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111507,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111573,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111584,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111646,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111788,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
111899,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
111912,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
112026,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
112142,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
112226,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
112393,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
112522,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
112632,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
112661,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
112678,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112709,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
112732,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
112733,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
112797,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
112842,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
112856,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
112863,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
112894,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
113040,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
113184,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
113220,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
113293,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
113316,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
113363,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
113442,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
113476,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
113529,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
113558,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
113578,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
113656,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
113679,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
113694,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
113755,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
113779,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113804,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
113831,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
113839,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
113861,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
113864,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
113874,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
113877,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
113904,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
113919,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114018,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114021,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114131,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
114214,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
114219,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114242,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114307,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114399,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
114414,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114493,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114553,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114638,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114700,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
114743,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
114835,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114857,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114903,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114924,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
114927,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
114983,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
115198,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
115322,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
115354,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
115405,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
115427,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
115505,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
115529,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
115633,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
115705,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
115749,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
115805,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
115852,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
116016,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
116045,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
116164,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
116207,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
116238,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
116288,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
116332,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
116372,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
116562,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
116703,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
116732,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
116735,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
116895,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
116897,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
116932,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
116948,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
116999,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
117033,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
117053,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
117169,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
117219,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
117240,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
117333,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117342,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
117351,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
117358,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
117408,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
117456,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
117460,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
117482,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
117618,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
117725,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
117782,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
117832,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
117910,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
117915,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
117932,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
117939,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
117975,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
118076,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
118298,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
118320,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
118332,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
118355,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
118365,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
118376,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
118379,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
118418,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
118511,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
118514,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
118612,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
118628,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
118632,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
118675,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
118688,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
118729,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
118864,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
119009,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
119015,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
119135,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
119198,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
119200,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
119408,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
119460,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
119488,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
119519,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
119633,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
119634,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
119638,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
119690,2,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
119731,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
119837,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
119845,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
119917,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
119997,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
120046,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
120126,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
120140,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
120164,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
120192,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
120206,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
120393,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
120434,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
120554,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
120583,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
120594,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
120613,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
120635,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
120799,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
120868,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
121068,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
121095,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
121139,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
121183,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
121236,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
121351,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
121410,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
121469,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
121605,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
121710,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
121737,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
121751,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
121856,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
121919,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
121930,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
121935,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
121999,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
122009,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
122020,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
122049,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
122094,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
122166,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
122173,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
122206,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
122283,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
122357,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
122456,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
122517,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
122519,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
122545,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
122561,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
122577,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
122685,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
122797,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
122858,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
122890,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
122946,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
122958,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
123060,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
123083,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
123094,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
123115,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
